id,engine run time,intake_air_temperature,throttle_positio,engine_rpm,vehicle_speed,coolant_temperature
213,286,14,17,1426,29,69
214,288,14,13,889,29,69
215,289,14,13,745,25,69
216,290,14,13,745,19,69
217,291,14,13,744,16,69
218,293,14,13,748,9,70
219,295,14,19,1406,11,69
220,296,14,18,1212,17,70
221,298,14,13,995,18,70
222,299,14,13,751,19,70
223,300,14,13,739,19,70
224,301,14,13,747,16,70
225,303,14,13,727,12,70
226,304,14,14,754,9,71
227,305,14,14,767,7,71
228,307,14,14,741,2,71
229,309,14,14,702,0,71
230,310,14,19,2162,2,71
231,311,14,16,973,2,71
232,313,14,14,1108,3,71
233,314,14,15,1212,2,72
234,315,14,16,1257,1,71
235,316,14,14,756,0,71
236,318,14,14,750,0,72
237,319,14,14,723,0,72
238,320,14,12,200,0,72
239,321,14,12,0,0,72
240,323,15,12,0,0,72
241,324,15,16,0,0,72
242,325,15,16,0,0,72
243,326,15,16,0,0,72
244,330,15,16,0,0,72
245,331,15,15,0,0,72
246,332,15,16,0,0,72
247,334,15,16,0,0,72
248,335,15,16,0,0,72
249,336,15,16,0,0,72
250,337,15,12,0,0,72
251,339,15,12,0,0,72
252,340,15,12,0,0,72
253,341,15,16,0,0,71
254,342,15,16,0,0,71
255,344,15,16,0,0,71
256,775,15,16,0,0,65
257,780,15,16,0,0,65
258,781,15,16,0,0,65
259,783,15,16,0,0,65
260,784,15,16,0,0,65
261,786,15,16,0,0,65
262,787,15,16,0,0,65
263,788,15,16,939,0,65
264,789,15,13,879,0,65
265,791,15,13,773,0,65
266,792,15,13,766,0,64
267,793,15,13,740,0,65
268,794,15,13,739,0,65
269,796,16,13,768,0,65
270,797,16,13,755,0,65
271,798,16,16,1414,0,64
272,800,16,14,884,2,64
273,801,16,16,1106,6,64
274,802,16,14,872,7,64
275,803,17,18,1338,10,64
276,805,16,14,1402,11,63
277,806,16,16,1034,14,64
278,807,17,17,1335,18,64
279,808,17,14,992,20,63
280,810,17,13,785,20,63
281,811,17,13,747,16,64
282,812,17,13,761,16,63
283,813,17,16,968,16,64
284,815,17,20,1450,20,64
285,816,17,21,1804,25,64
286,817,17,13,1023,26,64
287,818,17,16,1279,25,64
288,820,17,17,1338,27,64
289,821,17,16,1404,28,64
290,822,17,15,1439,29,64
291,824,17,14,1423,29,65
292,825,17,14,1371,27,65
293,826,17,17,1323,27,65
294,827,17,17,1421,28,65
295,829,17,14,1519,31,65
296,830,17,13,1126,30,66
297,831,17,15,1098,30,66
298,832,17,15,1111,30,66
299,834,17,16,1131,31,66
300,835,17,16,1162,32,67
301,836,17,13,1147,32,66
302,837,17,13,858,27,66
303,839,17,13,754,19,67
304,841,17,13,728,11,67
